1,01100001011111011100010110101001
2,01100001100001110110000010111111
3,01100001100100001000011001101100
4,01100001100110100100001000100101
5,01100001101000111000010101000111
6,01100001101011001010100101010110
7,01100001101101010110001100101000
8,01100001101111101111111000110010
9,01100001110010000010010000000110
10,01100001110100010010101100111001
11,01100001110110011100101010110011
12,01100001111000101110111001101001
13,01100001111010111010011111100011
14,01100001111101000100010101111001
15,01100001111111001000010010010001
16,01100010000010110110110011011010
17,01100010000110010001010000101000
18,01100010001001101110101010001110
19,01100010001100111010101010101111
20,01100010010000010100100111110011
21,01100010010011011101101110000000
22,01100010010110101001010010110111
23,01100010011001100110000100001111
24,01100010011100111110011001011001
25,01100010100000000110000110010100
26,01100010100011010000010000000010
27,01100010100110001011110011001100
28,01100010101001010011000101000010
29,01100010101100001100001001111111
30,01100010101111000111010110100001
31,01100010110001110101111101011100
32,01100010110101001110011111010000
33,01100010111000010110010111010010
34,01100010111011100000101011111100
35,01100010111110011100011000111001
36,01100011000001100011110101101000
37,01100011000100011101000100000111
38,01100011000111011000011001010010
39,01100011001010000111001000001010
40,01100011001101001101001111100001
41,01100011010000000101010100011001
42,01100011010010111111011101100001
43,01100011010101101101001001000000
44,01100011011000100100110101110101
45,01100011011011010000011010010010
46,01100011011101111101110010010011
47,01100011100000100000010011110110
48,01100011100011110011000100000000
49,01100011100110110110000000111011
50,01100011101001111011010010100101
51,01100011101100110010101001010001
52,01100011101111110101001011111001
53,01100011110010101010001010100111
54,01100011110101100001001001001000
55,01100011111000001100000101100001
56,01100011111011001101010101001100
57,01100011111110000001001011000100
58,01100100000000110111000010110101
59,01100100000011100000111111100010
60,01100100000110010100100001001111
61,01100100001000111100011011101001
62,01100100001011100110000100110111
63,01100100001110000101010011010110
64,01100100010001000110101100101110
65,01100100010011111010101011010100
66,01100100010110110000101010000001
67,01100100011001011010101101111000
68,01100100011100001110010110110000
69,01100100011110110110011000001110
70,01100100100001100000001001000001
71,01100100100011111111011111000100
72,01100100100110110010000011000101
73,01100100101001011001000111000011
74,01100100101100000001111001011000
75,01100100101110100000011001010111
76,01100100110001000111001011011010
77,01100100110011100011111000100010
78,01100100110110000010000101110100
79,01100100111000010111001111000111
80,01100100111011101111111011011101
81,01100100111110110111111100111110
82,01100101000010000010011011000110
83,01100101000100111110001111110011
84,01100101001000000101110100101100
85,01100101001010111111001011010100
86,01100101001101111010100111010010
87,01100101010000101001011101010101
88,01100101010011101111101101101100
89,01100101010110100111111010011110
90,01100101011001100010001100110011
91,01100101011100010000000001100001
92,01100101011111000111110110001010
93,01100101100001110011100001011100
94,01100101100100100000111111011011
95,01100101100111000011100110101010
96,01100101101010001010000000010100
97,01100101101101000010010101011100
98,01100101101111111100110000011000
99,01100101110010101010101100000110
100,01100101110101100010101001101111
101,01100101111000001110011100001000
102,01100101111010111100000010010010
103,01100101111101011110110000111101
104,01100110000000010101100101000111
105,01100110000011000000010111110000
106,01100110000101101100111101001110
107,01100110001000001110110010110101
108,01100110001010111001010001111100
109,01100110001101011001010000100111
110,01100110001111111010110010011011
111,01100110010010010010110111010011
112,01100110010101010100011000000101
113,01100110011000001000011111011100
114,01100110011010111110100110001010
115,01100110011101101000110001110011
116,01100110100000011100100010101110
117,01100110100011000100101100001010
118,01100110100101101110100011001011
119,01100110101000001110000000011010
120,01100110101011000000101100010000
121,01100110101101100111111000001010
